"FileName","InfPath","ModelName","Class","Provider","Date","Version","HardwareIDs"
"oem2.inf","drivers\gw1-w149\audio-processing-object\oem2.inf","gw1-w149","AudioProcessingObject","Everest Semiconductor Co., Ltd","08/24/2021","1.0.2.4",""
"oem20.inf","drivers\gw1-w149\bluetooth\oem20.inf","gw1-w149","Bluetooth","%PROVIDER_NAME%","09/25/2019","21.50.1.1","USB"
"oem10.inf","drivers\gw1-w149\hid-class-event-filter\oem10.inf","gw1-w149","HIDClass","%INTEL%","03/14/2019","2.2.1.377","ACPI"
"oem24.inf","drivers\gw1-w149\media\audio-intel-screens\oem24.inf","gw1-w149","MEDIA","Intel(R) Corporation","02/25/2020","10.27.0.9","HDAUDIO;INTELAUDIO"
"oem1.inf","drivers\gw1-w149\media\esaudriver-device\oem1.inf","gw1-w149","MEDIA ; TODO: edit Class","Everest Semiconductor Co., Ltd","08/24/2021","1.0.2.4","ACPI"
"oem34.inf","drivers\gw1-w149\media\intel-smart-sound-technology\oem34.inf","gw1-w149","MEDIA","Intel(R) Corporation","12/04/2020","10.23.00.4880","INTELAUDIO"
"oem21.inf","drivers\gw1-w149\net-intel-wireless\oem21.inf","gw1-w149","net","%PROVIDER_NAME%","04/05/2021","22.30.1.1 ;DATE HAS TO BE IN FOLLOWING FORMAT MM/DD/YYYY","PCI"
"oem4.inf","drivers\gw1-w149\system\i-o-lpc-controller-0284-for-intel-on-package-platform-controller-hub\oem4.inf","gw1-w149","System","%INTEL%","07/18/1968","10.1.27.4","PCI"
"oem30.inf","drivers\gw1-w149\system\intel-audio-smart-sound\oem30.inf","gw1-w149","System","Intel(R) Corporation","12/04/2020","10.23.00.4880","PCI"
"oem5.inf","drivers\gw1-w149\system\intel-dynamic-tuning-generic-participant\oem5.inf","gw1-w149","System","%INTEL%","11/05/2019","8.7.10200.12510","ACPI"
"oem5.inf","drivers\gw1-w149\system\intel-dynamic-tuning-manager\oem5.inf","gw1-w149","System","%INTEL%","11/05/2019","8.7.10200.12510","ACPI"
"oem6.inf","drivers\gw1-w149\system\intel-dynamic-tuning-processor-participant\oem6.inf","gw1-w149","System","%INTEL%","11/05/2019","8.7.10200.12510","PCI"
"oem7.inf","drivers\gw1-w149\system\intel-gaussian-mixture-model-1911\oem7.inf","gw1-w149","System","%INTEL%","07/18/1968","10.1.7.3","PCI"
"oem11.inf","drivers\gw1-w149\system\intel-host-bridge-dram-registers-9b71\oem11.inf","gw1-w149","System","%INTEL%","07/18/1968","10.1.30.3","PCI"
"oem13.inf","drivers\gw1-w149\system\intel-management-engine-interface-1\oem13.inf","gw1-w149","System","%Provider%","10/01/2020","2040.100.0.1029","PCI"
"oem14.inf","drivers\gw1-w149\system\intel-serial-io-gpio-host-controller-int34bb\oem14.inf","gw1-w149","System","%INTEL%","05/12/2020","30.100.2020.7","ACPI"
"oem15.inf","drivers\gw1-w149\system\intel-serial-io-i2c-host-controller-02c5\oem15.inf","gw1-w149","System","%INTEL%","05/12/2020","30.100.2020.7","PCI"
"oem15.inf","drivers\gw1-w149\system\intel-serial-io-i2c-host-controller-02e8\oem15.inf","gw1-w149","System","%INTEL%","05/12/2020","30.100.2020.7","PCI"
"oem15.inf","drivers\gw1-w149\system\intel-serial-io-i2c-host-controller-02e9\oem15.inf","gw1-w149","System","%INTEL%","05/12/2020","30.100.2020.7","PCI"
"oem15.inf","drivers\gw1-w149\system\intel-serial-io-i2c-host-controller-02ea\oem15.inf","gw1-w149","System","%INTEL%","05/12/2020","30.100.2020.7","PCI"
"oem16.inf","drivers\gw1-w149\system\intel-serial-io-spi-host-controller-02ab\oem16.inf","gw1-w149","System","%INTEL%","05/12/2020","30.100.2020.7","PCI"
"oem17.inf","drivers\gw1-w149\system\intel-serial-io-uart-host-controller-02a8\oem17.inf","gw1-w149","System","%INTEL%","05/12/2020","30.100.2020.7","PCI"
"oem4.inf","drivers\gw1-w149\system\intel-shared-sram-02ef\oem4.inf","gw1-w149","System","%INTEL%","07/18/1968","10.1.27.4","PCI"
